epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25299,1.31422,2.17073,1.18971,0.83359,0.42507,0.47531,0.32512,1.33048,1.39074,1.15155,0.0003125,0.0003125,0.0003125
2,15.82,1.25978,1.19898,1.16623,0.2772,0.30011,0.31245,0.20567,1.3634,2.0558,1.18359,0.000636869,0.000636869,0.000636869
3,23.187,1.24579,1.01593,1.13071,0.17605,0.40873,0.19603,0.12615,1.37839,35.2133,1.23063,0.000960594,0.000960594,0.000960594
4,30.5871,1.23201,1.29303,1.13022,0.3647,0.73815,0.51555,0.34424,1.38078,1.11602,1.21308,0.00124629,0.00124629,0.00124629
5,38.1113,1.256,1.12524,1.1547,0.42953,0.62896,0.57901,0.39927,1.41591,1.62021,1.28976,0.00124505,0.00124505,0.00124505
6,45.6064,1.22812,0.95998,1.11189,0.57213,0.60733,0.61781,0.40769,1.35767,1.23412,1.18989,0.00124381,0.00124381,0.00124381
7,53.0542,1.1734,0.88029,1.0891,0.77784,0.65469,0.73395,0.49369,1.39189,1.0451,1.24138,0.00124257,0.00124257,0.00124257
8,60.3941,1.15931,0.76265,1.103,0.81864,0.70844,0.69609,0.38331,1.34135,0.88902,1.2092,0.00124134,0.00124134,0.00124134
9,67.6297,1.19603,0.7387,1.10714,0.80545,0.72021,0.66696,0.41427,1.37044,0.82753,1.23615,0.0012401,0.0012401,0.0012401
10,74.8981,1.3064,0.736,1.16181,0.79903,0.48118,0.53874,0.33647,1.58831,1.06529,1.36261,0.00123886,0.00123886,0.00123886
11,82.2093,1.3258,0.7346,1.15278,0.76113,0.46735,0.48609,0.34579,1.49233,0.94841,1.28336,0.00123763,0.00123763,0.00123763
12,89.5046,1.25127,0.68499,1.14356,0.89123,0.65895,0.71882,0.47869,1.44474,0.76658,1.24008,0.00123639,0.00123639,0.00123639
13,96.9652,1.19438,0.64056,1.10074,0.94528,0.62576,0.76787,0.51742,1.35108,0.62476,1.18878,0.00123515,0.00123515,0.00123515
14,104.457,1.19663,0.65224,1.11653,0.79896,0.65973,0.76485,0.50262,1.34323,0.65018,1.1764,0.00123391,0.00123391,0.00123391
15,111.928,1.11392,0.608,1.06515,0.73774,0.73702,0.72943,0.48653,1.3303,0.61975,1.18854,0.00123268,0.00123268,0.00123268
16,119.393,1.10321,0.56049,1.06757,0.71136,0.73359,0.78245,0.53717,1.29043,0.66846,1.1667,0.00123144,0.00123144,0.00123144
