epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1717,1.01197,1.29689,1.06521,0.63033,0.70699,0.72035,0.57584,0.83292,0.45276,0.98671,0.00329268,0.00329268,0.00329268
2,43.1651,0.83859,0.65044,0.98721,0.78778,0.91364,0.8884,0.65558,0.82914,0.70529,0.98619,0.00662383,0.00662383,0.00662383
3,64.0514,0.84202,0.71122,0.97448,0.88388,0.93498,0.93215,0.7026,0.87281,0.47495,0.98975,0.00995278,0.00995278,0.00995278
4,85.4876,0.94413,0.60552,1.01956,0.91345,0.91124,0.9415,0.7132,0.82155,0.46705,1.00199,0.0099901,0.0099901,0.0099901
5,107.378,0.85309,0.60195,0.98988,0.90967,0.91129,0.96209,0.72876,0.75445,0.43921,0.99158,0.0099868,0.0099868,0.0099868
6,129.246,0.84408,0.52151,1.00048,0.93693,0.95431,0.97045,0.72153,0.82227,0.42303,1.0291,0.0099835,0.0099835,0.0099835
7,151.254,0.81569,0.50103,0.99569,0.97242,0.96305,0.98663,0.77762,0.80936,0.43133,1.00056,0.0099802,0.0099802,0.0099802
8,173.49,0.82469,0.43039,0.99199,0.95087,0.9858,0.98762,0.78647,0.7294,0.36296,0.97789,0.0099769,0.0099769,0.0099769
9,195.987,0.79639,0.41871,0.98942,0.93977,0.98869,0.98328,0.76773,0.79549,0.41017,1.02249,0.0099736,0.0099736,0.0099736
10,219.495,0.77923,0.4284,0.98467,0.95416,0.9601,0.97569,0.77718,0.71173,0.37852,1.0056,0.0099703,0.0099703,0.0099703
11,242.96,0.74033,0.40311,0.97627,0.95204,0.98298,0.99032,0.80806,0.66419,0.35283,0.99924,0.009967,0.009967,0.009967
12,266.123,0.72192,0.42249,0.97856,0.94028,0.94988,0.97707,0.78845,0.71176,0.34058,1.01867,0.0099637,0.0099637,0.0099637
13,289.09,0.71004,0.38073,0.95869,0.92496,0.9597,0.98285,0.77462,0.80908,0.38397,1.06527,0.0099604,0.0099604,0.0099604
14,312.126,0.72259,0.39222,0.97061,0.92495,0.94821,0.95719,0.79884,0.67066,0.35168,1.01022,0.0099571,0.0099571,0.0099571
15,335.07,0.69159,0.38766,0.95868,0.91728,0.92339,0.95439,0.81416,0.67121,0.34176,1.01495,0.0099538,0.0099538,0.0099538
16,358.205,0.69192,0.36985,0.96092,0.94474,0.96719,0.97378,0.81688,0.6868,0.34242,1.01736,0.0099505,0.0099505,0.0099505
17,381.158,0.69027,0.35216,0.95901,0.94452,0.94886,0.96736,0.78549,0.67782,0.33388,1.01623,0.0099472,0.0099472,0.0099472
18,404.087,0.66072,0.35551,0.94459,0.95802,0.94799,0.97884,0.77963,0.63951,0.33814,0.99933,0.0099439,0.0099439,0.0099439
19,427.042,0.67072,0.36328,0.95257,0.92547,0.99221,0.98082,0.82331,0.67545,0.32127,1.02099,0.0099406,0.0099406,0.0099406
20,449.982,0.67114,0.34586,0.95304,0.93501,0.97049,0.97429,0.81883,0.67405,0.33544,1.01819,0.0099373,0.0099373,0.0099373
21,472.928,0.63391,0.3621,0.93837,0.94966,0.98357,0.98981,0.84064,0.60715,0.29335,0.99678,0.009934,0.009934,0.009934
22,495.923,0.65213,0.33693,0.95244,0.95918,0.94201,0.98354,0.83876,0.64538,0.31276,1.00222,0.0099307,0.0099307,0.0099307
23,518.931,0.64943,0.3386,0.93857,0.94636,0.97971,0.98266,0.82427,0.65517,0.32856,1.00099,0.0099274,0.0099274,0.0099274
